,LifeExpectancy,Adult Mortality,infant deaths,Alcohol
0,65.0,263.0,62,0.01
1,59.9,271.0,64,0.01
2,59.9,268.0,66,0.01
3,59.5,272.0,69,0.01
4,59.2,275.0,71,0.01
5,58.8,279.0,74,0.01
6,58.6,281.0,77,0.01
7,58.1,287.0,80,0.03
8,57.5,295.0,82,0.02
9,57.3,295.0,84,0.03
10,57.3,291.0,85,0.02
11,57.0,293.0,87,0.02
12,56.7,295.0,87,0.01
13,56.2,3.0,88,0.01
14,55.3,316.0,88,0.01
15,54.8,321.0,88,0.01
16,77.8,74.0,0,4.6
17,77.5,8.0,0,4.51
18,77.2,84.0,0,4.76
19,76.9,86.0,0,5.14
20,76.6,88.0,0,5.37
21,76.2,91.0,1,5.28
22,76.1,91.0,1,5.79
23,75.3,1.0,1,5.61
24,75.9,9.0,1,5.58
25,74.2,99.0,1,5.31
26,73.5,15.0,1,5.16
27,73.0,17.0,1,4.54
28,72.8,18.0,1,4.29
29,73.3,15.0,1,3.73
30,73.6,14.0,1,4.25
31,72.6,11.0,1,3.66
32,75.6,19.0,21,0.0
33,75.4,11.0,21,0.01
34,75.3,112.0,21,0.53
35,75.1,113.0,21,0.66
36,74.9,116.0,21,0.56
37,74.7,119.0,21,0.45
38,74.4,123.0,20,0.5
39,74.1,126.0,20,0.46
40,73.8,129.0,20,0.44
41,73.4,132.0,20,0.36
42,72.9,136.0,19,0.5
43,72.3,14.0,19,0.45
44,71.7,146.0,20,0.34
45,71.6,145.0,20,0.36
46,71.4,145.0,20,0.23
47,71.3,145.0,21,0.25
48,52.4,335.0,66,0.0
49,51.7,348.0,67,8.33
50,51.1,355.0,69,8.1
51,56.0,358.0,72,8.24
52,51.0,361.0,75,8.06
53,49.6,365.0,78,7.8
54,49.1,369.0,81,7.01
55,48.7,371.0,84,7.07
56,48.2,375.0,87,6.35
57,47.7,381.0,90,5.84
58,47.4,382.0,92,5.04
59,47.1,386.0,94,3.53
60,46.8,388.0,95,3.49
61,46.5,391.0,96,2.82
62,45.7,44.0,97,2.58
63,45.3,48.0,97,1.85
64,76.4,13.0,0,0.0
65,76.2,131.0,0,8.56
66,76.1,133.0,0,8.58
67,75.9,134.0,0,8.18
68,75.7,136.0,0,7.84
69,75.6,138.0,0,7.84
70,75.4,14.0,0,7.82
71,75.2,142.0,0,8.27
72,75.0,144.0,0,8.64
73,74.8,145.0,0,8.93
74,74.6,147.0,0,8.15
75,74.4,149.0,0,7.28
76,74.2,151.0,0,7.16
77,74.0,153.0,0,7.21
78,73.8,154.0,0,7.51
79,73.6,156.0,0,7.27
80,76.3,116.0,8,0.0
81,76.2,118.0,8,7.93
82,76.0,119.0,8,8.28
83,75.9,12.0,9,8.35
84,75.7,12.0,9,8.11
85,75.5,121.0,10,8.15
86,75.6,126.0,10,8.33
87,75.4,126.0,10,8.41
88,74.8,129.0,10,8.16
89,75.2,127.0,11,7.75
90,74.9,127.0,11,7.53
91,74.7,13.0,11,7.63
92,74.1,137.0,11,7.62
93,74.1,138.0,12,7.81
94,74.0,138.0,12,7.76
95,74.1,137.0,12,7.68
96,74.8,118.0,1,0.0
97,74.6,12.0,1,3.91
98,74.4,123.0,1,3.79
99,74.4,121.0,1,3.89
100,73.9,128.0,1,4.09
101,73.5,132.0,1,4.23
102,73.3,137.0,1,3.96
103,73.2,14.0,1,3.96
104,73.5,132.0,1,3.99
105,72.9,141.0,1,4.01
106,73.0,137.0,1,4.25
107,73.0,132.0,1,3.81
108,72.7,134.0,1,3.03
109,72.6,134.0,1,2.86
110,72.6,141.0,1,2.86
111,72.0,142.0,1,2.9
112,82.8,59.0,1,0.0
113,82.7,6.0,1,9.71
114,82.5,61.0,1,9.87
115,82.3,61.0,1,10.03
116,82.0,63.0,1,10.3
117,81.9,64.0,1,10.52
118,81.7,66.0,1,10.62
119,81.3,66.0,1,10.76
120,81.3,66.0,1,10.56
121,81.2,66.0,1,10.31
122,81.0,67.0,1,10.3
123,86.0,69.0,1,9.84
124,83.0,71.0,1,9.97
125,79.9,73.0,1,9.84
126,79.9,75.0,1,9.53
127,79.5,78.0,1,10.17
128,81.5,65.0,0,0.0
129,81.4,66.0,0,12.32
130,81.1,68.0,0,11.82
131,88.0,7.0,0,12.26
132,88.0,73.0,0,12.04
133,84.0,75.0,0,12.1
134,82.0,77.0,0,11.3
135,84.0,76.0,0,12.0
136,81.0,8.0,0,12.5
137,79.8,81.0,0,12.4
138,79.4,85.0,0,12.4
139,79.3,86.0,0,12.1
140,78.8,88.0,0,12.2
141,78.7,9.0,0,12.5
142,78.6,92.0,0,12.4
143,78.1,96.0,0,13.2
144,72.7,118.0,5,0.0
145,72.5,119.0,5,0.01
146,72.2,121.0,5,2.14
147,71.9,123.0,5,0.01
148,71.6,125.0,5,1.98
149,71.1,13.0,5,1.98
150,78.0,132.0,6,2.1
151,73.0,141.0,6,1.18
152,73.0,14.0,6,1.02
153,69.2,154.0,6,0.85
154,68.4,162.0,6,0.73
155,68.4,154.0,6,0.62
156,67.8,154.0,7,0.55
157,67.8,146.0,7,0.55
158,67.5,151.0,8,0.51
159,66.6,16.0,9,0.65
160,76.1,147.0,0,0.0
161,75.4,16.0,0,9.45
162,74.8,172.0,0,9.42
163,74.9,167.0,0,9.5
164,75.0,162.0,0,9.34
165,75.0,161.0,0,9.19
166,74.6,168.0,0,9.29
167,74.5,167.0,0,10.15
168,74.4,167.0,0,10.75
169,74.2,171.0,0,11.07
170,74.1,172.0,0,10.49
171,73.8,174.0,0,10.1
172,73.2,189.0,0,10.68
173,73.1,19.0,0,10.85
174,72.9,189.0,0,11.64
175,72.6,192.0,0,12.15
176,76.9,69.0,0,0.0
177,76.8,7.0,0,1.57
178,76.7,7.0,0,1.65
179,76.5,71.0,0,1.7
180,76.1,76.0,0,1.66
181,76.1,73.0,0,1.93
182,76.0,74.0,0,1.95
183,75.8,76.0,0,2.0
184,75.6,77.0,0,2.0
185,75.5,79.0,0,2.1
186,75.3,81.0,0,2.05
187,75.2,83.0,0,2.16
188,75.0,85.0,0,2.16
189,74.9,87.0,0,1.99
190,74.7,9.0,0,1.95
191,74.5,92.0,0,2.15
192,71.8,129.0,92,0.0
193,71.4,132.0,98,0.01
194,71.0,135.0,104,0.01
195,77.0,137.0,111,0.01
196,73.0,14.0,118,0.01
197,69.9,142.0,126,0.01
198,69.5,144.0,135,0.01
199,69.1,147.0,144,0.01
200,68.6,151.0,154,0.01
201,68.2,152.0,164,0.01
202,67.8,155.0,174,0.01
203,67.3,158.0,185,0.01
204,66.8,161.0,196,0.01
205,66.3,164.0,207,0.01
206,65.8,168.0,219,0.01
207,65.3,173.0,231,0.01
208,75.5,98.0,0,0.0
209,75.4,1.0,0,8.82
210,75.2,11.0,0,8.74
211,75.1,12.0,0,8.61
212,74.9,14.0,0,8.51
213,74.7,16.0,0,8.41
214,74.6,19.0,0,8.46
215,74.4,111.0,0,8.95
216,74.2,113.0,0,8.47
217,74.1,115.0,0,8.39
218,73.9,117.0,0,8.01
219,73.8,119.0,0,7.68
220,73.7,121.0,0,7.65
221,73.5,123.0,0,7.59
222,73.4,125.0,0,7.38
223,73.3,127.0,0,7.43
224,72.3,196.0,0,0.0
225,72.0,199.0,0,13.94
226,71.7,23.0,0,14.66
227,71.9,194.0,0,16.35
228,72.0,232.0,0,17.31
229,73.0,222.0,0,14.44
230,70.0,226.0,0,14.09
231,70.0,224.0,1,14.67
232,69.8,226.0,1,14.22
233,68.9,243.0,1,12.6
234,68.1,252.0,1,11.01
235,68.2,247.0,1,12.05
236,67.7,253.0,1,11.17
237,67.2,262.0,1,12.23
238,67.7,254.0,1,10.74
239,68.0,247.0,1,12.98
240,81.1,74.0,0,0.0
241,89.0,76.0,0,12.6
242,87.0,77.0,0,11.77
243,83.0,78.0,0,10.08
244,83.0,8.0,0,10.11
245,80.0,81.0,0,10.22
246,79.8,85.0,0,10.05
247,79.5,87.0,0,10.47
248,79.5,86.0,0,10.25
249,79.4,85.0,0,10.98
250,78.9,89.0,0,12.27
251,78.8,91.0,1,12.05
252,78.3,95.0,0,11.28
253,78.0,99.0,1,11.29
254,78.0,1.0,1,11.01
255,77.6,11.0,1,11.21
256,71.0,175.0,0,0.0
257,70.0,177.0,0,6.58
258,69.8,18.0,0,6.56
259,69.4,189.0,0,6.66
260,69.4,188.0,0,6.64
261,69.5,186.0,0,6.76
262,69.5,184.0,0,6.85
263,69.6,181.0,0,7.22
264,69.6,181.0,0,7.24
265,69.4,184.0,0,6.48
266,69.0,191.0,0,6.25
267,68.7,197.0,0,6.2
268,68.4,21.0,0,5.67
269,68.5,199.0,0,4.99
270,68.2,21.0,0,4.9
271,68.3,196.0,0,4.79
272,60.0,249.0,25,0.0
273,59.7,252.0,25,0.01
274,59.5,251.0,25,0.01
275,59.3,251.0,25,0.01
276,59.1,251.0,25,1.4
277,58.7,254.0,25,1.33
278,58.4,259.0,25,1.16
279,57.6,278.0,25,1.28
280,57.1,283.0,25,1.12
281,56.8,284.0,25,1.19
282,56.5,285.0,25,1.13
283,56.1,285.0,25,1.15
284,55.8,285.0,25,1.35
285,55.6,283.0,25,1.23
286,55.5,281.0,25,1.29
287,55.4,279.0,25,1.34
288,69.8,211.0,0,0.0
289,69.4,216.0,0,0.01
290,69.1,219.0,0,0.01
291,68.7,223.0,0,0.01
292,68.3,225.0,0,0.23
293,67.9,228.0,1,0.28
294,67.4,232.0,1,0.17
295,67.0,234.0,1,0.21
296,66.5,238.0,1,0.16
297,65.8,245.0,1,0.29
298,65.0,254.0,1,0.73
299,64.2,263.0,1,0.96
300,63.3,273.0,1,0.52
301,62.5,282.0,1,0.29
302,61.7,29.0,1,0.14
303,62.0,312.0,1,0.17
304,77.0,186.0,8,0.0
305,74.0,189.0,8,3.62
306,71.0,192.0,8,3.78
307,69.8,194.0,8,3.89
308,69.3,198.0,9,3.93
309,68.7,22.0,9,3.95
310,68.0,27.0,10,3.87
311,67.4,211.0,10,3.77
312,66.8,216.0,11,3.47
313,66.2,219.0,11,3.23
314,65.7,222.0,12,2.86
315,65.1,226.0,12,2.66
316,64.5,23.0,13,2.37
317,63.9,234.0,14,2.26
318,63.3,238.0,14,2.2
319,62.6,243.0,15,2.32
320,77.4,88.0,0,0.0
321,77.2,89.0,0,4.03
322,77.0,9.0,0,4.12
323,76.8,92.0,0,4.61
324,76.9,92.0,0,4.64
325,76.4,94.0,0,4.54
326,76.1,97.0,0,4.75
327,76.0,98.0,0,5.13
328,75.4,16.0,0,5.16
329,75.7,1.0,0,4.82
330,75.0,12.0,0,4.56
331,75.5,99.0,0,4.25
332,75.2,12.0,0,4.14
333,75.4,11.0,0,3.84
334,74.9,113.0,0,3.85
335,74.6,116.0,0,3.64
336,65.7,256.0,2,0.0
337,65.1,268.0,2,0.01
338,64.2,286.0,2,0.01
339,63.4,3.0,2,0.01
340,62.2,325.0,2,5.76
341,61.1,349.0,2,5.99
342,59.2,393.0,2,5.01
343,57.5,427.0,2,6.56
344,56.9,436.0,2,6.21
345,54.8,491.0,2,6.45
346,51.7,566.0,2,6.37
347,48.1,652.0,2,4.9
348,46.4,693.0,2,5.51
349,46.0,699.0,2,6.41
350,46.7,679.0,2,5.48
351,47.8,647.0,2,5.37
352,75.0,142.0,42,0.0
353,74.8,144.0,44,7.32
354,74.7,146.0,46,7.24
355,74.5,148.0,49,7.55
356,74.1,152.0,51,7.58
357,73.8,154.0,54,7.52
358,73.6,157.0,57,7.33
359,73.4,158.0,61,7.21
360,73.3,159.0,65,7.19
361,73.0,161.0,70,7.1
362,72.7,163.0,75,6.97
363,72.0,17.0,81,6.85
364,71.8,172.0,88,6.95
365,71.4,176.0,95,7.0
366,71.0,179.0,103,7.13
367,75.0,183.0,111,7.26
368,77.7,78.0,0,0.0
369,77.6,8.0,0,0.01
370,77.1,84.0,0,0.01
371,78.3,79.0,0,0.01
372,77.4,79.0,0,0.97
373,76.9,79.0,0,0.88
374,76.8,88.0,0,0.25
375,77.2,84.0,0,0.67
376,76.0,1.0,0,0.85
377,76.3,93.0,0,0.67
378,76.2,92.0,0,0.16
379,76.4,89.0,0,0.11
380,76.0,89.0,0,0.12
381,74.8,95.0,0,0.13
382,74.7,19.0,0,0.47
383,74.4,16.0,0,0.37
384,74.5,137.0,0,0.0
385,74.3,138.0,1,12.03
386,74.1,14.0,1,12.06
387,73.9,139.0,1,10.99
388,73.7,144.0,1,10.67
389,73.4,147.0,1,10.8
390,73.2,152.0,1,10.93
391,72.9,155.0,1,10.98
392,72.6,157.0,1,10.89
393,72.2,161.0,1,10.39
394,72.1,16.0,1,10.48
395,72.2,157.0,1,10.96
396,72.0,155.0,1,11.19
397,71.8,157.0,1,10.2
398,71.6,16.0,1,10.72
399,71.1,163.0,1,9.69
400,59.9,26.0,38,0.0
401,59.3,268.0,39,0.01
402,59.0,27.0,40,4.64
403,58.6,271.0,41,4.75
404,58.1,275.0,42,4.51
405,57.5,279.0,43,4.55
406,56.9,283.0,44,4.55
407,56.1,288.0,45,4.5
408,55.3,293.0,46,4.58
409,54.3,32.0,47,4.73
410,53.3,313.0,48,4.88
411,52.4,323.0,49,4.54
412,51.6,332.0,49,4.58
413,51.0,338.0,49,4.53
414,56.0,344.0,48,4.56
415,51.0,348.0,48,3.71
416,59.6,288.0,21,0.0
417,59.1,297.0,22,0.01
418,58.6,33.0,22,0.01
419,58.0,312.0,22,0.01
420,57.4,321.0,22,4.16
421,56.8,33.0,23,4.16
422,56.2,338.0,23,4.05
423,55.3,35.0,23,4.33
424,54.8,355.0,24,4.54
425,54.1,361.0,24,4.5
426,53.4,369.0,24,5.54
427,52.6,378.0,24,5.72
428,51.9,387.0,24,5.84
429,51.5,387.0,24,5.98
430,51.3,385.0,25,6.09
431,58.0,386.0,25,6.61
432,53.3,397.0,57,0.0
433,52.8,47.0,58,0.01
434,52.3,412.0,59,3.15
435,52.0,415.0,59,3.24
436,51.7,419.0,60,3.13
437,51.5,417.0,60,3.15
438,51.0,426.0,60,2.92
439,54.0,437.0,60,2.69
440,49.9,443.0,61,2.58
441,49.4,452.0,62,2.65
442,48.7,466.0,63,3.11
443,48.2,472.0,64,3.08
444,48.0,473.0,64,3.12
445,47.7,473.0,65,3.13
446,47.8,467.0,65,3.15
447,47.9,461.0,67,3.45
448,73.3,114.0,0,0.0
449,73.0,117.0,0,0.01
450,72.8,12.0,0,0.01
451,72.7,121.0,0,0.01
452,72.6,122.0,0,5.07
453,72.5,123.0,0,4.75
454,72.4,124.0,0,4.45
455,72.4,124.0,0,4.16
456,72.3,126.0,0,5.28
457,72.1,129.0,0,4.25
458,71.8,134.0,0,4.26
459,71.4,14.0,0,4.19
460,71.1,144.0,0,4.16
461,77.0,148.0,0,3.82
462,73.0,152.0,0,3.81
463,69.9,155.0,0,3.49
464,68.7,174.0,10,0.0
465,68.3,179.0,11,0.01
466,67.8,183.0,11,0.01
467,67.4,186.0,12,0.01
468,67.0,19.0,13,2.12
469,66.6,192.0,14,2.2
470,66.1,195.0,15,2.13
471,65.6,199.0,16,2.24
472,65.0,24.0,16,2.08
473,64.1,216.0,17,2.03
474,62.9,234.0,18,1.99
475,61.5,253.0,19,1.38
476,63.0,268.0,21,1.44
477,59.3,273.0,23,1.43
478,58.5,273.0,25,1.71
479,57.7,274.0,27,1.51
480,57.3,357.0,45,0.0
481,56.7,366.0,47,0.01
482,56.4,364.0,48,0.01
483,55.9,369.0,50,0.01
484,55.6,371.0,51,6.19
485,55.3,37.0,53,6.15
486,54.8,373.0,54,5.89
487,54.2,382.0,56,5.9
488,53.6,395.0,57,5.44
489,53.3,394.0,58,5.22
490,52.8,4.0,58,5.03
491,52.1,412.0,59,4.71
492,51.8,412.0,60,4.64
493,51.6,47.0,60,4.58
494,51.5,41.0,61,4.43
495,51.4,394.0,62,3.91
496,82.2,64.0,2,0.0
497,82.0,65.0,2,8.1
498,81.8,67.0,2,8.2
499,81.6,68.0,2,8.3
500,81.5,68.0,2,8.2
501,81.2,7.0,2,8.4
502,81.0,72.0,2,8.4
503,87.0,74.0,2,8.3
504,85.0,74.0,2,8.3
505,85.0,75.0,2,8.2
506,81.0,76.0,2,8.0
507,80.0,77.0,2,7.8
508,79.7,78.0,2,7.7
509,79.5,79.0,2,7.7
510,79.4,8.0,2,7.6
511,79.1,82.0,2,7.6
512,52.5,397.0,15,0.0
513,58.0,437.0,15,0.01
514,49.9,451.0,16,0.01
515,53.0,439.0,16,0.01
516,49.8,443.0,16,1.66
517,49.2,446.0,17,1.67
518,48.6,453.0,17,1.56
519,47.6,477.0,17,1.52
520,46.8,495.0,17,1.5
521,46.3,56.0,17,1.54
522,45.9,511.0,17,1.5
523,45.7,512.0,17,1.5
524,45.7,51.0,17,1.49
525,45.6,58.0,17,1.47
526,45.6,54.0,17,1.52
527,46.0,49.0,16,1.51
528,53.1,356.0,46,0.0
529,52.6,362.0,46,0.01
530,52.2,366.0,46,0.64
531,51.8,367.0,46,0.62
532,51.6,365.0,46,0.56
533,51.2,364.0,46,0.5
534,57.0,37.0,46,0.47
535,49.6,394.0,46,0.45
536,49.4,394.0,46,0.42
537,48.5,414.0,45,0.41
538,48.6,46.0,45,0.42
539,48.5,45.0,44,0.34
540,48.4,43.0,44,0.42
541,48.1,43.0,43,0.36
542,48.0,4.0,42,0.3
543,47.6,44.0,41,0.25
544,85.0,82.0,2,0.0
545,83.0,83.0,2,7.16
546,81.0,84.0,2,7.2
547,79.9,84.0,2,6.76
548,79.8,86.0,2,7.26
549,79.1,89.0,2,7.93
550,79.3,91.0,2,7.67
551,79.6,88.0,2,7.31
552,78.9,9.0,2,7.39
553,78.9,91.0,2,7.33
554,78.4,93.0,2,7.57
555,78.0,97.0,2,6.32
556,77.9,1.0,2,6.37
557,77.8,11.0,2,6.06
558,77.3,16.0,2,6.1
559,77.3,13.0,2,6.24
560,76.1,85.0,157,0.0
561,75.8,86.0,171,5.78
562,75.6,88.0,185,5.79
563,75.4,89.0,201,5.74
564,75.2,91.0,215,5.63
565,75.0,92.0,231,5.75
566,74.9,93.0,248,4.88
567,74.5,97.0,266,4.27
568,74.4,96.0,285,3.88
569,74.2,98.0,307,3.28
570,73.9,99.0,332,2.92
571,73.5,11.0,360,3.04
572,73.1,13.0,391,2.96
573,72.7,16.0,422,2.91
574,72.2,11.0,457,2.84
575,71.7,115.0,490,3.06
576,74.8,143.0,10,0.0
577,74.6,144.0,11,4.38
578,74.4,145.0,11,4.41
579,74.3,143.0,11,4.44
580,74.2,144.0,12,4.37
581,73.6,15.0,12,4.28
582,73.6,15.0,13,4.34
583,73.5,146.0,14,4.45
584,73.5,144.0,14,4.66
585,73.1,147.0,15,4.53
586,73.1,144.0,15,4.38
587,72.8,148.0,16,4.26
588,72.4,15.0,16,4.25
589,71.8,163.0,17,4.45
590,71.5,165.0,17,4.43
591,71.4,167.0,18,4.66
592,63.5,227.0,1,0.0
593,63.2,23.0,1,0.01
594,62.9,233.0,1,0.01
595,62.5,237.0,2,0.01
596,62.2,241.0,2,0.12
597,61.8,246.0,2,0.15
598,61.3,251.0,2,0.17
599,61.0,255.0,2,0.12
600,66.0,259.0,2,0.16
601,63.0,262.0,2,0.25
602,60.0,266.0,2,0.24
603,59.8,269.0,2,0.27
604,59.6,271.0,2,0.26
605,59.5,271.0,2,0.08
606,59.5,272.0,1,0.08
607,59.5,272.0,1,0.09
608,64.7,267.0,7,0.0
609,64.2,275.0,7,0.01
610,63.9,274.0,7,0.01
611,63.7,273.0,7,0.01
612,62.9,285.0,7,3.82
613,62.0,298.0,7,3.53
614,68.0,314.0,7,3.47
615,59.4,338.0,8,2.58
616,58.2,354.0,8,2.75
617,56.9,368.0,8,2.25
618,55.3,394.0,8,2.03
619,54.1,48.0,9,2.58
620,53.2,417.0,9,2.45
621,52.6,424.0,9,2.55
622,52.7,419.0,9,2.3
623,52.9,416.0,9,2.26
624,0.0,0.0,0,0.01
625,79.6,95.0,1,0.0
626,79.5,96.0,1,3.45
627,79.4,96.0,1,3.42
628,79.2,97.0,1,3.34
629,79.0,98.0,1,3.41
630,78.1,16.0,1,3.58
631,79.2,96.0,1,4.07
632,78.9,99.0,1,4.22
633,78.9,93.0,1,4.2
634,78.0,16.0,1,4.15
635,78.6,97.0,1,4.1
636,77.7,12.0,1,4.09
637,78.0,1.0,1,4.04
638,78.3,99.0,1,4.17
639,77.5,1.0,1,4.29
640,77.6,98.0,1,4.34
641,78.0,95.0,0,0.0
642,77.8,97.0,0,12.14
643,77.7,97.0,0,12.39
644,77.1,14.0,0,11.49
645,77.0,14.0,0,12.19
646,76.6,16.0,0,12.1
647,76.3,19.0,0,12.21
648,76.0,116.0,0,12.06
649,75.8,114.0,0,12.56
650,75.9,113.0,0,11.83
651,75.2,116.0,0,11.59
652,75.4,114.0,0,13.11
653,74.7,122.0,0,13.78
654,74.8,124.0,0,13.39
655,74.9,126.0,0,13.15
656,74.7,127.0,0,12.73
657,79.1,92.0,1,0.0
658,79.0,93.0,1,4.37
659,78.7,96.0,1,4.18
660,78.7,96.0,1,4.16
661,78.8,92.0,1,4.14
662,78.0,98.0,1,4.13
663,78.1,11.0,1,4.01
664,77.9,12.0,1,4.26
665,78.1,14.0,1,4.13
666,78.0,14.0,1,4.17
667,77.2,19.0,1,4.48
668,77.3,17.0,1,4.38
669,77.4,18.0,1,4.39
670,77.7,19.0,1,4.1
671,76.7,115.0,1,4.04
672,76.9,115.0,1,3.92
673,85.0,52.0,0,0.0
674,83.0,53.0,0,0.01
675,81.0,54.0,0,9.04
676,80.0,56.0,0,10.55
677,79.7,57.0,0,10.69
678,79.5,59.0,0,11.32
679,79.3,6.0,0,10.8
680,79.1,62.0,0,12.01
681,78.9,63.0,0,11.56
682,78.8,64.0,0,11.47
683,78.7,65.0,0,11.41
684,78.6,65.0,0,13.03
685,78.5,66.0,0,10.62
686,78.4,68.0,0,11.68
687,78.2,69.0,0,10.16
688,78.1,7.0,0,9.56
689,78.8,86.0,0,0.0
690,78.6,88.0,0,12.68
691,78.2,9.0,0,12.45
692,78.0,93.0,0,12.71
693,77.8,97.0,0,12.43
694,77.5,99.0,0,12.69
695,77.1,12.0,0,13.23
696,77.0,16.0,0,13.25
697,76.8,17.0,0,13.43
698,76.5,19.0,0,13.03
699,75.9,114.0,0,13.19
700,75.8,116.0,0,13.24
701,75.2,122.0,0,13.01
702,75.3,12.0,0,13.47
703,75.1,123.0,0,13.36
704,74.7,126.0,0,13.22
705,76.0,139.0,6,0.0
706,73.0,142.0,6,0.01
707,71.0,146.0,6,3.35
708,69.8,149.0,7,3.61
709,69.4,153.0,8,3.39
710,69.0,157.0,8,3.12
711,68.7,161.0,9,3.35
712,68.6,164.0,9,3.16
713,68.5,166.0,9,3.13
714,68.5,165.0,10,3.28
715,68.5,165.0,10,3.21
716,68.4,165.0,11,3.13
717,68.1,165.0,12,3.13
718,67.6,167.0,14,3.08
719,66.6,177.0,16,2.53
720,65.4,192.0,18,3.52
721,59.8,258.0,236,0.0
722,59.3,266.0,237,0.01
723,58.8,272.0,238,0.01
724,58.3,277.0,239,0.01
725,57.9,278.0,239,1.82
726,57.4,283.0,239,1.81
727,56.7,292.0,238,2.13
728,56.3,295.0,237,2.09
729,55.7,299.0,236,1.52
730,55.0,36.0,235,1.53
731,54.3,314.0,233,1.43
732,53.5,323.0,232,1.44
733,52.8,332.0,231,1.83
734,52.1,341.0,229,1.85
735,51.8,34.0,227,1.9
736,51.3,346.0,226,1.98
737,86.0,71.0,0,0.0
738,84.0,73.0,0,9.64
739,81.0,75.0,0,9.5
740,80.0,76.0,0,9.26
741,79.7,79.0,0,10.47
742,79.2,84.0,0,10.28
743,78.9,86.0,0,10.08
744,78.8,88.0,0,10.7
745,78.4,93.0,0,10.99
746,78.1,93.0,0,11.02
747,78.1,92.0,0,11.28
748,77.7,98.0,0,11.27
749,77.3,11.0,0,11.54
750,77.0,14.0,0,11.34
751,77.0,12.0,0,11.56
752,76.9,12.0,0,11.69
753,63.5,241.0,1,0.0
754,63.0,252.0,1,0.38
755,62.7,256.0,1,0.53
