,LifeExpectancy,Adult Mortality,infant deaths,Alcohol
756,62.2,263.0,1,0.52
757,61.8,268.0,1,0.39
758,61.3,273.0,1,0.44
759,69.0,279.0,1,0.49
760,62.0,289.0,1,0.49
761,59.8,296.0,1,0.45
762,59.1,39.0,2,1.02
763,58.6,318.0,2,1.23
764,58.1,326.0,2,1.18
765,58.0,325.0,2,1.02
766,57.9,322.0,2,1.03
767,57.7,323.0,2,0.95
768,57.4,325.0,2,1.34
769,0.0,0.0,0,0.01
770,73.9,152.0,6,0.0
771,73.6,154.0,6,5.92
772,73.4,157.0,6,5.93
773,72.1,174.0,6,5.93
774,73.1,16.0,6,5.91
775,72.7,166.0,6,6.02
776,73.6,157.0,6,6.05
777,73.3,161.0,6,6.12
778,72.9,164.0,6,6.05
779,72.3,178.0,7,6.2
780,69.7,28.0,7,5.71
781,69.3,214.0,7,5.16
782,73.0,22.0,7,6.32
783,71.4,189.0,7,6.43
784,71.2,188.0,7,6.13
785,72.0,176.0,7,6.58
786,76.2,118.0,6,0.0
787,76.0,121.0,6,3.82
788,76.0,121.0,6,3.77
789,75.5,127.0,7,3.92
790,75.3,131.0,7,3.99
791,75.0,134.0,7,3.95
792,75.1,137.0,7,3.87
793,74.6,139.0,7,3.76
794,74.7,14.0,7,3.63
795,74.4,144.0,8,3.52
796,74.2,151.0,8,3.54
797,74.4,148.0,8,3.65
798,74.4,151.0,8,3.69
799,73.6,157.0,8,3.88
800,73.4,158.0,9,4.13
801,72.8,163.0,9,3.99
802,79.0,159.0,51,0.0
803,78.0,161.0,53,0.21
804,79.0,159.0,54,0.21
805,72.0,165.0,54,0.23
806,74.0,168.0,55,0.22
807,70.0,173.0,54,0.22
808,69.9,174.0,54,0.21
809,69.8,172.0,54,0.24
810,69.7,171.0,55,0.21
811,69.5,175.0,55,0.18
812,69.4,174.0,56,0.16
813,69.0,176.0,57,0.16
814,68.6,178.0,59,0.15
815,68.7,177.0,61,0.15
816,68.6,177.0,63,0.14
817,68.8,171.0,65,0.14
818,73.5,178.0,2,0.0
819,73.3,181.0,2,2.52
820,73.0,184.0,2,2.42
821,73.0,181.0,2,2.48
822,72.0,197.0,2,2.37
823,72.0,191.0,2,2.36
824,71.4,23.0,2,2.55
825,71.7,194.0,2,2.68
826,71.2,23.0,2,2.83
827,75.0,211.0,3,2.77
828,71.0,213.0,3,2.77
829,70.0,215.0,3,2.9
830,69.9,29.0,3,3.1
831,73.0,24.0,3,2.97
832,68.9,219.0,4,2.88
833,69.0,218.0,4,2.79
834,58.2,32.0,3,0.0
835,57.9,32.0,3,0.01
836,57.4,327.0,3,10.72
837,56.7,337.0,3,11.89
838,56.2,344.0,3,10.99
839,56.1,339.0,3,9.93
840,55.7,34.0,3,7.97
841,55.4,338.0,3,8.34
842,55.0,339.0,3,6.86
843,54.8,337.0,3,7.28
844,54.4,337.0,3,7.19
845,54.1,336.0,3,6.28
846,53.8,334.0,3,7.13
847,53.5,334.0,3,6.01
848,53.1,334.0,3,5.07
849,52.7,336.0,3,4.46
850,64.7,255.0,5,0.0
851,64.4,261.0,5,0.01
852,64.0,266.0,6,0.01
853,63.6,274.0,6,0.01
854,62.9,286.0,6,0.62
855,62.1,298.0,6,0.61
856,61.4,311.0,6,0.63
857,67.0,322.0,6,0.49
858,62.0,329.0,6,1.23
859,59.7,336.0,7,0.97
860,59.4,34.0,7,1.07
861,59.1,342.0,7,0.64
862,58.8,343.0,7,0.56
863,58.5,343.0,7,0.83
864,58.1,345.0,7,0.61
865,45.3,593.0,7,0.83
866,77.6,119.0,0,0.0
867,77.3,122.0,0,0.01
868,76.9,127.0,0,0.01
869,76.3,135.0,0,0.01
870,76.1,138.0,0,0.01
871,75.6,137.0,0,14.97
872,74.9,156.0,0,15.04
873,74.2,167.0,0,16.99
874,73.0,189.0,0,17.87
875,73.0,188.0,0,16.58
876,72.8,189.0,0,15.52
877,72.3,195.0,0,15.07
878,71.9,199.0,0,11.64
879,71.2,211.0,0,11.48
880,78.0,225.0,0,0.01
881,78.0,218.0,0,0.01
882,64.8,225.0,136,0.0
883,64.2,234.0,140,0.01
884,63.7,237.0,145,1.86
885,63.3,241.0,150,1.84
886,62.6,249.0,156,1.32
887,61.8,261.0,162,1.34
888,68.0,274.0,169,1.17
889,59.8,289.0,177,1.13
890,58.5,39.0,186,1.06
891,57.2,328.0,196,1.22
892,56.0,343.0,206,0.99
893,55.0,354.0,217,0.86
894,54.0,363.0,228,0.79
895,53.2,369.0,237,0.8
896,52.5,372.0,246,0.85
897,51.2,391.0,253,0.88
898,69.9,188.0,0,0.0
899,69.7,19.0,0,0.01
900,69.6,192.0,0,0.01
901,69.4,195.0,0,0.01
902,69.2,197.0,0,0.01
903,69.1,2.0,0,2.25
904,68.9,23.0,0,2.31
905,68.7,26.0,0,1.95
906,68.6,29.0,0,2.09
907,68.5,211.0,0,2.06
908,68.3,214.0,0,2.02
909,68.1,218.0,0,1.63
910,68.0,22.0,0,1.76
911,67.9,22.0,0,1.85
912,67.8,221.0,0,1.93
913,67.7,221.0,0,2.05
914,81.1,76.0,0,0.0
915,89.0,78.0,0,8.8
916,87.0,79.0,0,8.97
917,84.0,82.0,0,9.24
918,83.0,86.0,0,9.81
919,79.9,89.0,0,9.72
920,79.7,91.0,0,9.96
921,79.6,94.0,0,10.26
922,79.3,96.0,0,10.45
923,79.2,96.0,0,10.15
924,78.9,11.0,0,9.95
925,78.7,12.0,0,9.89
926,78.4,98.0,0,9.31
927,78.1,98.0,0,9.25
928,78.0,1.0,0,8.94
929,77.5,15.0,0,8.59
930,82.4,78.0,2,0.0
931,82.2,79.0,3,11.5
932,82.0,81.0,3,11.1
933,81.5,83.0,3,11.5
934,81.7,83.0,3,11.8
935,81.3,86.0,3,11.7
936,81.1,88.0,3,11.8
937,89.0,88.0,3,11.9
938,89.0,89.0,3,12.2
939,86.0,92.0,3,12.4
940,81.0,93.0,3,12.2
941,82.0,94.0,3,13.18
942,79.3,99.0,3,13.49
943,79.2,11.0,3,13.78
944,79.0,13.0,3,13.89
945,78.8,13.0,3,13.63
946,66.0,229.0,2,0.0
947,65.5,237.0,2,0.01
948,64.6,255.0,2,8.86
949,63.5,276.0,2,8.3
950,62.8,289.0,2,8.9
951,62.3,294.0,2,8.85
952,61.7,31.0,2,8.64
953,61.6,298.0,2,8.75
954,61.6,291.0,2,9.02
955,61.4,288.0,2,8.01
956,65.0,37.0,2,7.72
957,59.7,322.0,2,8.13
958,59.7,32.0,2,6.47
959,59.7,315.0,2,8.34
960,59.8,37.0,2,9.29
961,61.0,296.0,2,8.87
962,61.1,262.0,3,0.0
963,68.0,266.0,3,0.01
964,66.0,266.0,3,0.01
965,62.0,269.0,3,0.01
966,59.8,277.0,3,3.41
967,59.3,284.0,3,3.48
968,59.0,286.0,3,2.99
969,58.7,287.0,3,2.79
970,58.5,288.0,3,2.64
971,58.2,288.0,3,2.93
972,57.7,294.0,3,2.26
973,57.3,296.0,3,2.51
974,57.0,297.0,3,2.47
975,56.6,298.0,3,2.08
976,56.3,3.0,3,2.25
977,55.9,33.0,3,2.18
978,74.4,129.0,1,0.0
979,74.5,125.0,1,6.13
980,74.5,128.0,1,5.91
981,74.2,13.0,1,7.71
982,73.9,127.0,1,8.14
983,73.8,132.0,1,7.24
984,73.2,133.0,1,6.66
985,73.9,128.0,1,7.17
986,74.4,12.0,1,8.65
987,73.9,126.0,1,6.18
988,73.9,128.0,1,4.7
989,72.3,134.0,1,3.74
990,72.7,132.0,1,3.36
991,71.7,142.0,2,2.72
992,73.0,121.0,2,2.76
993,71.8,129.0,2,3.28
994,81.0,68.0,2,0.0
995,89.0,69.0,2,11.03
996,86.0,71.0,2,10.94
997,86.0,71.0,2,11.18
998,85.0,74.0,2,11.2
999,81.0,76.0,2,11.2
1000,80.0,79.0,2,11.22
1001,79.9,8.0,2,11.36
1002,79.8,82.0,3,11.5
1003,79.6,84.0,3,11.76
1004,79.2,85.0,3,11.67
1005,79.1,86.0,3,11.83
1006,78.5,9.0,3,11.92
1007,78.4,91.0,3,12.25
1008,78.3,92.0,3,12.46
1009,78.0,95.0,3,12.91
1010,62.4,249.0,37,0.0
1011,62.1,253.0,37,0.01
1012,61.9,254.0,38,0.01
1013,61.6,257.0,39,0.01
1014,61.2,263.0,40,1.64
1015,69.0,267.0,40,1.69
1016,66.0,271.0,41,1.76
1017,63.0,275.0,41,1.78
1018,59.9,28.0,41,1.25
1019,59.4,288.0,41,1.7
1020,58.9,296.0,41,1.5
1021,58.3,34.0,41,1.46
1022,57.9,38.0,41,1.53
1023,57.6,31.0,42,1.6
1024,57.4,39.0,42,1.49
1025,57.2,38.0,43,1.6
1026,81.0,72.0,0,0.0
1027,88.0,73.0,0,7.53
1028,86.0,74.0,0,7.46
1029,84.0,76.0,0,8.2
1030,85.0,76.0,0,8.02
1031,83.0,76.0,0,9.0
1032,80.0,78.0,0,9.08
1033,79.9,77.0,0,9.51
1034,79.4,8.0,0,9.67
1035,79.7,77.0,0,9.42
1036,79.3,81.0,0,9.95
1037,79.2,81.0,0,9.56
1038,79.1,81.0,0,9.46
1039,79.0,81.0,1,8.09
1040,78.7,83.0,1,8.62
1041,78.2,84.0,1,8.48
1042,73.6,142.0,0,0.0
1043,73.5,143.0,0,8.42
1044,73.3,144.0,0,8.25
1045,73.1,146.0,0,8.07
1046,72.9,15.0,0,7.84
1047,72.6,154.0,0,7.91
1048,72.4,158.0,0,8.42
1049,72.1,162.0,0,8.92
1050,71.9,164.0,0,9.06
1051,71.7,167.0,0,9.06
1052,71.5,169.0,0,8.8
1053,73.0,187.0,0,8.43
1054,71.1,173.0,0,9.75
1055,79.0,176.0,0,10.71
1056,77.0,178.0,0,9.61
1057,74.0,182.0,0,9.4
1058,71.9,186.0,10,0.0
1059,71.7,187.0,10,1.88
1060,71.4,189.0,11,1.93
1061,71.3,189.0,11,2.02
1062,71.1,193.0,11,2.16
1063,77.0,196.0,12,2.14
1064,76.0,198.0,12,2.14
1065,79.0,19.0,13,2.21
1066,75.0,192.0,13,2.4
1067,69.7,24.0,14,2.38
1068,69.2,28.0,14,2.35
1069,69.6,21.0,15,2.4
1070,69.4,24.0,15,2.45
1071,69.3,21.0,16,2.41
1072,68.4,211.0,16,2.53
1073,67.7,221.0,17,2.63
1074,59.0,284.0,26,0.0
1075,58.1,299.0,27,0.01
1076,58.8,284.0,27,0.01
1077,58.4,288.0,28,0.01
1078,58.1,29.0,28,0.22
1079,57.8,291.0,29,0.2
1080,57.3,297.0,29,0.18
1081,56.8,33.0,30,0.21
1082,56.4,36.0,31,0.19
1083,55.6,317.0,31,0.16
1084,54.7,327.0,32,0.21
1085,54.0,334.0,33,0.34
1086,53.3,338.0,34,0.18
1087,52.9,337.0,35,0.21
1088,52.5,336.0,36,0.17
1089,52.5,328.0,37,0.17
1090,58.9,275.0,4,0.0
1091,58.4,282.0,4,0.01
1092,58.1,279.0,4,0.01
1093,57.6,285.0,4,0.01
1094,57.1,289.0,4,3.57
1095,56.7,287.0,4,3.21
1096,56.3,288.0,4,2.55
1097,55.6,297.0,5,2.64
1098,55.0,32.0,5,2.98
1099,54.4,36.0,5,3.22
1100,53.9,37.0,5,3.1
1101,53.5,38.0,5,2.58
1102,53.0,38.0,5,2.16
1103,52.8,35.0,5,2.47
1104,52.5,32.0,5,2.55
1105,52.1,3.0,5,2.84
1106,66.2,215.0,0,0.0
1107,66.0,217.0,0,7.64
1108,65.9,218.0,0,7.56
1109,65.8,22.0,0,7.57
1110,65.6,229.0,0,7.56
1111,65.9,221.0,0,7.52
1112,66.1,218.0,0,7.49
1113,66.3,218.0,1,7.32
1114,65.7,232.0,1,7.2
1115,65.2,24.0,1,7.04
1116,65.0,238.0,1,7.35
1117,65.1,237.0,1,7.84
1118,65.3,237.0,1,7.93
1119,65.3,244.0,1,7.73
1120,65.4,247.0,1,6.71
1121,65.4,246.0,1,6.63
1122,63.5,24.0,14,0.0
1123,63.1,245.0,14,0.01
1124,62.7,253.0,14,5.68
1125,62.3,259.0,15,5.68
1126,62.3,259.0,15,5.68
1127,36.3,682.0,23,5.76
1128,62.5,251.0,16,5.85
1129,62.1,259.0,16,5.95
1130,61.8,266.0,17,6.08
1131,61.1,28.0,17,6.18
1132,65.0,29.0,17,5.57
1133,58.7,32.0,18,6.1
1134,59.7,3.0,18,6.64
1135,59.3,33.0,19,6.1
1136,58.9,35.0,19,6.22
1137,58.6,35.0,20,4.79
1138,74.6,147.0,3,0.0
1139,74.5,149.0,3,2.87
1140,74.3,15.0,4,3.11
1141,74.1,151.0,4,3.11
1142,73.9,153.0,4,3.1
1143,73.6,156.0,4,3.1
1144,73.4,157.0,4,3.08
1145,73.2,159.0,4,3.14
1146,73.0,16.0,5,3.16
1147,72.8,161.0,5,3.23
1148,72.5,163.0,5,3.23
1149,72.2,165.0,5,3.02
1150,71.9,166.0,6,3.04
1151,71.6,169.0,6,3.09
1152,71.3,171.0,6,2.74
1153,71.0,174.0,6,2.61
1154,75.8,134.0,0,0.0
1155,75.6,137.0,0,0.01
1156,75.5,139.0,0,10.88
1157,75.0,146.0,0,11.27
1158,74.8,15.0,0,11.51
1159,74.5,156.0,0,10.78
1160,74.2,162.0,0,11.46
1161,74.1,165.0,1,11.64
1162,73.5,176.0,1,12.55
1163,73.4,177.0,1,13.16
1164,72.9,182.0,1,12.94
1165,72.9,18.0,1,13.28
1166,72.5,184.0,1,13.24
1167,72.5,184.0,1,13.29
1168,72.3,185.0,1,13.18
1169,71.7,193.0,1,12.22
1170,82.7,49.0,0,0.0
1171,82.5,49.0,0,7.45
1172,82.4,5.0,0,7.31
1173,82.5,5.0,0,7.81
1174,82.1,51.0,0,8.13
1175,81.8,53.0,0,8.25
1176,81.6,55.0,0,10.22
1177,81.4,58.0,0,8.49
1178,81.3,59.0,0,7.53
1179,81.1,61.0,0,7.2
1180,81.0,62.0,0,7.05
1181,88.0,65.0,0,6.79
1182,87.0,65.0,0,6.61
1183,84.0,7.0,0,6.61
1184,80.0,72.0,0,6.37
1185,79.7,74.0,0,6.17
1186,68.3,181.0,910,0.0
1187,68.0,184.0,957,3.07
1188,67.6,187.0,1000,3.11
1189,67.3,19.0,1100,3.1
1190,66.8,193.0,1100,3.0
1191,66.4,196.0,1200,2.77
1192,66.0,2.0,1300,2.5
1193,65.5,23.0,1300,1.93
1194,65.2,26.0,1400,1.59
1195,64.8,28.0,1500,1.37
1196,64.4,211.0,1500,1.27
1197,64.0,214.0,1600,1.2
1198,63.7,216.0,1700,1.19
1199,63.3,219.0,1700,1.1
1200,62.9,222.0,1800,1.0
1201,62.5,224.0,1800,0.93
1202,69.1,176.0,114,0.0
1203,68.9,179.0,119,0.09
1204,68.7,181.0,124,0.09
1205,68.5,183.0,129,0.08
1206,68.3,185.0,134,0.08
1207,68.1,187.0,138,0.08
1208,67.9,189.0,143,0.08
1209,67.7,189.0,149,0.07
1210,67.5,19.0,154,0.06
1211,67.3,191.0,159,0.06
1212,67.2,19.0,163,0.06
1213,65.3,213.0,174,0.06
1214,66.9,189.0,173,0.05
1215,66.7,189.0,177,0.05
1216,66.5,188.0,182,0.06
1217,66.3,188.0,187,0.06
1218,75.5,83.0,18,0.0
1219,75.4,83.0,19,0.01
1220,75.3,83.0,20,0.01
1221,75.1,85.0,21,0.01
1222,74.7,93.0,22,0.03
1223,74.1,16.0,22,0.03
1224,73.3,122.0,23,0.03
1225,72.7,135.0,24,0.02
1226,72.4,138.0,25,0.02
1227,72.2,139.0,26,0.02
1228,72.0,139.0,27,0.01
1229,71.8,139.0,28,0.01
1230,75.0,154.0,29,0.01
1231,71.2,142.0,31,0.01
1232,78.0,146.0,33,0.01
1233,73.0,15.0,35,0.01
1234,68.9,182.0,32,0.0
1235,67.9,199.0,32,0.01
1236,69.5,17.0,32,0.01
1237,76.0,147.0,32,0.01
1238,77.0,144.0,32,0.17
1239,76.0,145.0,32,0.19
1240,74.0,148.0,32,0.2
1241,69.3,167.0,32,0.17
1242,65.9,227.0,31,0.14
1243,64.7,249.0,31,0.03
1244,66.8,29.0,31,0.18
1245,67.2,21.0,30,0.32
1246,66.5,213.0,30,0.07
1247,74.0,14.0,30,0.15
1248,72.0,142.0,30,0.17
1249,70.0,144.0,30,0.2
1250,81.4,64.0,0,0.0
1251,81.2,66.0,0,10.75
1252,81.0,67.0,0,10.49
1253,85.0,69.0,0,11.49
1254,84.0,7.0,0,11.72
1255,86.0,68.0,0,11.88
1256,79.7,77.0,0,11.41
1257,79.8,75.0,0,12.66
1258,79.5,75.0,0,13.59
1259,79.0,78.0,0,13.44
1260,78.7,78.0,0,13.31
1261,78.3,82.0,0,13.32
1262,78.0,82.0,0,13.24
1263,77.4,88.0,0,14.17
1264,77.0,89.0,0,14.27
1265,76.4,94.0,0,14.07
1266,82.5,58.0,0,0.0
1267,82.2,6.0,1,2.62
1268,82.1,61.0,1,2.69
1269,81.8,6.0,1,2.78
1270,81.8,61.0,1,2.67
1271,81.7,61.0,1,2.63
1272,81.5,63.0,1,2.55
1273,81.0,65.0,1,2.47
1274,84.0,68.0,1,2.33
1275,84.0,68.0,1,2.23
1276,80.0,71.0,1,2.41
1277,81.0,69.0,1,2.23
1278,79.7,71.0,1,2.32
1279,79.3,74.0,1,2.47
1280,79.3,74.0,1,2.53
1281,78.9,76.0,1,2.53
1282,82.7,56.0,1,0.0
1283,82.5,57.0,2,7.56
1284,82.3,58.0,2,7.35
1285,82.0,6.0,2,7.49
1286,82.0,6.0,2,6.98
1287,81.8,6.0,2,6.95
1288,81.6,61.0,2,7.25
1289,81.5,61.0,2,7.96
1290,81.3,63.0,2,8.37
1291,81.2,65.0,2,8.44
1292,88.0,66.0,2,8.65
1293,89.0,66.0,2,8.98
1294,79.9,72.0,2,9.3
1295,80.0,72.0,2,9.25
1296,79.8,75.0,2,9.69
1297,79.4,77.0,3,9.78
1298,76.2,125.0,1,0.0
1299,75.8,133.0,1,3.83
1300,75.6,136.0,1,3.79
1301,75.3,138.0,1,3.65
1302,75.2,139.0,1,3.58
1303,75.0,138.0,1,3.55
1304,74.7,142.0,1,3.33
1305,74.5,145.0,1,3.51
1306,74.2,148.0,1,3.64
1307,74.0,15.0,1,3.63
1308,73.5,161.0,1,3.59
1309,73.3,165.0,1,3.67
1310,73.1,166.0,1,3.48
1311,73.0,167.0,1,3.76
1312,72.7,171.0,1,3.89
1313,72.6,171.0,1,3.46
1314,83.7,55.0,2,0.0
1315,83.5,57.0,2,0.01
1316,83.5,56.0,2,7.55
1317,83.3,58.0,2,7.39
1318,82.5,64.0,3,7.39
1319,83.0,62.0,3,6.9
1320,83.0,64.0,3,7.09
1321,82.7,66.0,3,7.11
1322,82.6,67.0,3,7.29
1323,82.4,68.0,3,7.49
1324,82.0,69.0,3,7.99
1325,82.1,68.0,3,7.7
1326,81.9,7.0,3,7.83
1327,81.8,7.0,3,7.87
1328,81.5,72.0,4,8.03
1329,81.1,74.0,4,7.97
1330,74.1,112.0,4,0.0
1331,74.0,113.0,4,0.41
1332,73.9,114.0,4,0.4
1333,73.7,115.0,4,0.41
1334,73.6,116.0,4,0.43
1335,73.4,117.0,4,0.51
1336,73.3,118.0,4,0.59
1337,73.1,119.0,4,0.61
1338,73.0,12.0,4,0.6
1339,72.8,121.0,4,0.59
1340,72.4,127.0,4,0.55
1341,72.5,125.0,4,0.54
1342,72.3,127.0,4,0.54
1343,72.1,129.0,4,0.54
1344,71.9,131.0,4,0.55
1345,71.7,133.0,4,0.49
1346,72.0,198.0,4,0.0
1347,69.9,22.0,5,6.29
1348,69.5,28.0,5,6.48
1349,69.1,214.0,6,6.82
1350,68.5,224.0,7,6.63
1351,67.8,236.0,7,6.83
1352,67.8,235.0,7,6.64
1353,66.6,258.0,8,7.6
1354,65.3,288.0,8,7.44
1355,65.0,295.0,8,7.08
1356,64.6,294.0,8,6.94
1357,64.7,287.0,8,6.55
1358,64.4,282.0,8,6.58
1359,64.7,276.0,8,5.99
1360,64.4,284.0,8,5.75
1361,63.9,292.0,9,6.0
1362,63.4,249.0,54,0.0
1363,62.9,255.0,56,0.01
1364,62.6,258.0,58,1.84
1365,62.1,263.0,59,1.81
1366,61.2,278.0,60,1.8
1367,63.0,294.0,61,1.73
1368,59.1,317.0,62,1.86
1369,57.9,339.0,64,1.71
1370,56.8,356.0,66,1.97
1371,55.3,388.0,68,1.76
1372,54.1,412.0,70,1.82
1373,53.0,432.0,72,1.43
1374,52.4,437.0,74,1.49
1375,52.1,437.0,76,1.66
1376,51.9,434.0,77,1.63
1377,51.9,428.0,77,1.51
1378,66.3,198.0,0,0.0
1379,66.1,2.0,0,0.01
1380,65.8,22.0,0,0.01
1381,65.7,24.0,0,0.01
1382,65.5,26.0,0,0.53
1383,65.3,27.0,0,0.48
1384,65.2,28.0,0,0.54
1385,65.1,21.0,0,0.46
1386,65.0,211.0,0,0.68
1387,65.0,212.0,0,0.76
1388,64.9,213.0,0,0.6
1389,64.8,214.0,0,0.48
1390,64.7,215.0,0,0.5
1391,64.6,217.0,0,0.49
1392,64.3,219.0,0,0.6
1393,64.1,222.0,0,0.46
1394,74.7,81.0,0,0.0
1395,74.6,82.0,0,0.01
1396,74.5,83.0,1,0.01
1397,74.3,84.0,1,0.01
1398,74.2,85.0,1,0.02
1399,74.0,86.0,1,0.01
1400,73.9,87.0,1,0.1
1401,73.8,88.0,1,0.03
1402,73.7,89.0,1,0.03
1403,73.6,89.0,1,0.01
1404,73.6,9.0,0,0.01
1405,73.5,91.0,0,0.02
1406,73.4,93.0,0,0.03
1407,73.3,94.0,0,0.01
1408,73.2,95.0,0,0.01
1409,73.2,96.0,0,0.01
1410,71.1,166.0,3,0.0
1411,78.0,17.0,3,0.01
1412,77.0,174.0,3,0.01
1413,69.9,18.0,3,0.01
1414,69.4,188.0,4,3.28
1415,68.8,199.0,4,2.73
1416,68.5,21.0,4,2.39
1417,67.6,217.0,4,2.53
1418,67.2,229.0,4,2.77
1419,66.7,234.0,4,2.48
1420,66.9,224.0,4,2.81
1421,67.1,218.0,4,3.41
1422,66.6,217.0,4,3.52
1423,66.7,215.0,4,3.31
1424,67.2,217.0,4,2.62
1425,66.6,225.0,4,2.13
1426,65.7,194.0,8,0.0
1427,65.3,199.0,8,0.01
1428,64.9,23.0,9,0.01
1429,64.4,28.0,9,0.01
1430,64.0,213.0,9,5.39
1431,63.6,218.0,10,5.95
1432,63.1,223.0,10,5.18
1433,62.6,228.0,10,5.1
1434,62.1,234.0,11,5.0
1435,61.5,24.0,11,3.69
1436,61.0,246.0,11,3.68
1437,64.0,252.0,12,3.53
1438,59.8,259.0,12,3.41
1439,59.3,265.0,13,3.33
1440,58.7,271.0,13,3.13
1441,58.1,278.0,14,5.16
1442,74.6,153.0,0,0.0
1443,74.4,156.0,0,0.01
1444,74.1,161.0,0,10.37
1445,73.8,163.0,0,10.21
1446,73.6,169.0,0,10.14
1447,72.8,18.0,0,9.8
1448,72.6,184.0,0,9.85
1449,71.9,199.0,0,11.84
1450,78.0,221.0,0,12.12
1451,75.0,229.0,0,10.4
1452,76.0,216.0,0,9.92
1453,71.0,26.0,0,8.81
1454,78.0,29.0,0,8.24
1455,73.0,219.0,0,7.44
1456,69.9,228.0,0,6.68
1457,71.0,218.0,0,7.13
1458,74.9,98.0,1,0.0
1459,74.8,99.0,1,1.32
1460,74.9,97.0,1,1.29
1461,75.0,93.0,1,1.53
1462,75.0,93.0,1,1.57
1463,74.9,94.0,1,1.58
1464,74.7,95.0,1,1.62
1465,74.5,98.0,1,1.67
1466,74.4,98.0,1,1.72
1467,74.1,1.0,1,1.82
1468,73.9,11.0,1,1.94
1469,73.7,13.0,1,2.1
1470,73.5,15.0,1,2.19
1471,73.2,17.0,1,1.98
1472,73.0,11.0,1,2.19
1473,72.7,112.0,1,2.26
1474,53.7,484.0,4,0.0
1475,52.1,522.0,4,0.01
1476,52.1,518.0,4,0.01
1477,52.2,513.0,4,0.01
1478,52.3,52.0,4,2.39
1479,51.1,527.0,4,2.71
1480,49.4,566.0,4,2.75
1481,47.8,592.0,5,2.75
1482,46.2,633.0,4,2.69
1483,45.3,654.0,5,2.61
1484,44.5,675.0,5,2.67
1485,44.8,666.0,5,1.8
1486,45.5,648.0,5,1.99
1487,46.4,622.0,5,2.95
1488,47.8,586.0,5,2.86
1489,49.3,543.0,5,3.1
1490,61.4,259.0,8,0.0
1491,58.1,329.0,8,0.01
